topic,term,beta,sumber_data,kasus
2,berkibar twitter,0.002873199800173413,twitter,gojek
2,online berkibar,0.002873199800173413,twitter,gojek
2,dukung ojek,0.002844649973777861,twitter,gojek
2,kisah nyata,0.0024311690616851973,twitter,gojek
2,star wars,0.0024311690616851973,twitter,gojek
2,tolak perubahan,0.0022101536924410883,twitter,gojek
2,trending indonesia,0.0022101536924410883,twitter,gojek
2,tarif murah,0.001989138323196892,twitter,gojek
2,gojek gojek,0.0019891383230594634,twitter,gojek
3,ojek online,0.009172287900996515,twitter,gojek
3,driver gojek,0.0071830502105945234,twitter,gojek
3,tarif driver,0.005333053805801409,twitter,gojek
3,terima kasih,0.0035553692038714038,twitter,gojek
3,toilet twothousand,0.00302969302657873,twitter,gojek
3,kasihan driver,0.0024215133334368837,twitter,gojek
3,kekuatan terbesar,0.0022221057524196273,twitter,gojek
3,mengalahkan stress,0.0022221057524196273,twitter,gojek
3,terbesar mengalahkan,0.0022221057524196273,twitter,gojek
3,supir metromini,0.001999895177177665,twitter,gojek
3,metromini gelar,0.0017776846019357019,twitter,gojek
3,onethousandsixhundred toilet,0.0017776846019357019,twitter,gojek
3,paraf petisi,0.0017776846019357019,twitter,gojek
3,samarinda paraf,0.0017776846019357019,twitter,gojek
3,driver murah,0.0015554739845042129,twitter,gojek
4,anak bangsa,0.011196391960385993,twitter,gojek
4,karya anak,0.005822123894380428,twitter,gojek
4,driver gojek,0.005598196052288876,twitter,gojek
4,tolak memperbarui,0.0029110619471902134,twitter,gojek
4,ojek online,0.0028648289506007897,twitter,gojek
4,terima kasih,0.002463206263007105,twitter,gojek
4,orang takut,0.0017914227367324402,twitter,gojek
4,driver grab,0.001567494894640885,twitter,gojek
4,memperbarui kerja,0.0015674948946408406,twitter,gojek
4,pekerjaan sesuai,0.0013435670525493292,twitter,gojek
4,takut berani,0.0013435670525493292,twitter,gojek
4,berani keberanian,0.001119639210457775,twitter,gojek
4,gojek bantu,0.001119639210457775,twitter,gojek
4,taksi online,0.001119639210457775,twitter,gojek
4,tarif driver,0.001119639210457775,twitter,gojek
4,tarif turun,0.001119639210457775,twitter,gojek
